record_id,run,pair_name,experiment_id,generation,note_index,target_name,verdict,score,rationale,primary_target,secondary_targets,novelty_assessment,has_material_concern,confidence,evidence,coder_a_primary,coder_b_primary,coder_a_novelty,coder_b_novelty,adjudicated
9c491726d02b5cace46f,B1,accrual_distress,2026-08-03T05-56-18_baseline_accrual_distress,0,0,AccrualLeverageRankProduct,flag,2,"A product of two all-positive ranks is monotone in each component and therefore loads mostly on the two well-known main effects (Sloan accruals and leverage/distress) rather than isolating any interaction, making it close to a repackaged rediscovery.",identification_attribution,novelty_redundancy,published_rediscovery,True,5,loads mostly on the two well-known main effects,identification_attribution,identification_attribution,published_rediscovery,published_rediscovery,False
f046ccea1a739ead63b2,B1,accrual_distress,2026-08-03T05-56-18_baseline_accrual_distress,0,1,WorkingCapitalAccrualsFragilityAmplified,accept,3,"Construction is internally coherent — a signed balance-sheet accrual measure scaled by a strictly positive fragility rank preserves direction and genuinely amplifies rather than contaminates — though the core is still the classic Sloan accrual anomaly and the [0,2] multiplier provides only mild differentiation.",novelty_redundancy,,limited_incremental_extension,True,5,the core is still the classic Sloan accrual anomaly,novelty_redundancy,novelty_redundancy,limited_incremental_extension,limited_incremental_extension,False
dcc1fa348addd24e073d,B1,accrual_distress,2026-08-03T05-56-18_baseline_accrual_distress,0,2,AccrualsPerLiquidResources,flag,2,"This is just the accrual anomaly with a different deflator (and the denominator double-counts cash, since che is inside act), so it tests a scaling choice rather than a cross-theme mechanism, with added small-denominator instability.",measurement_construct,data_feasibility,limited_incremental_extension,True,5,"the denominator double-counts cash, since che is inside act",measurement_construct,measurement_construct,limited_incremental_extension,limited_incremental_extension,False
5573b9d9873cb118600d,B1,accrual_distress,2026-08-03T05-56-18_baseline_accrual_distress,0,3,AccrualInstabilityUnderDebtBurden,accept,3,"Accrual volatility (Dechow-Dichev/Francis accrual quality) interacted with leverage is a defensible cross-theme idea, but the sign is theoretically ambiguous (information-risk pricing implies positive premia), the rank product again absorbs both main effects, and the 5-period VOL on annual data will cut coverage.",economic_logic,identification_attribution|data_feasibility,substantive_new_condition_or_combination,True,4,the sign is theoretically ambiguous,economic_logic,economic_logic,substantive_new_condition_or_combination,substantive_new_condition_or_combination,False
4cc5eb7b67aee7da34d3,B1,accrual_distress,2026-08-03T05-56-18_baseline_accrual_distress,0,4,AccrualBuildupWithDeterioratingSolvency,flag,2,"The SUMRANK bundles a strong standalone profitability effect (−pi/at) with leverage change, so any result will most plausibly be driven by the well-documented profitability premium rather than the claimed accrual-under-funding-stress interaction, making attribution impossible.",identification_attribution,,not_discussed,True,5,any result will most plausibly be driven by the well-documented profitability premium,identification_attribution,identification_attribution,not_discussed,not_discussed,False
db243943b21442086f31,B1,accrual_distress,2026-08-03T05-56-18_baseline_accrual_distress,0,5,AccrualsAtLiquidityTrough,accept,4,"Using a firm-relative TS_RANK of the current ratio gives a conditioner that is roughly uniform within firm and hence carries little unconditional return signal, making this the cleanest genuine interaction test in the batch, though the 5-period lookback and rank-product form still deserve scrutiny for coverage and main-effect leakage.",identification_attribution,data_feasibility,substantive_new_condition_or_combination,True,4,rank-product form still deserve scrutiny for coverage and main-effect leakage,identification_attribution,identification_attribution,substantive_new_condition_or_combination,substantive_new_condition_or_combination,False
9118278130ee06c95338,B1,accrual_distress,2026-08-03T05-56-18_baseline_accrual_distress,1,0,CFAccrualsSolvencyLiquidityAmplified,flag,2,"This is structurally the archive signal with a cosmetic swap of accrual proxy (ΔWC−dp → ib+dp−oancf, the textbook Hribar-Collins cash-flow accrual) and of the liquidity leg, and multiplying signed Sloan accruals by a strictly positive rank amplifier makes it a rescaled accruals anomaly whose sign already came out backwards (fmb +3.25 vs expected negative) in the prior test — the coverage fix does not address that diagnostic.",archive_feedback,novelty_redundancy,archive_duplicate_or_cosmetic_variant,True,5,the coverage fix does not address that diagnostic,archive_feedback,archive_feedback,archive_duplicate_or_cosmetic_variant,archive_duplicate_or_cosmetic_variant,False
ecd40ebd8940e4f13e55,B1,accrual_distress,2026-08-03T05-56-18_baseline_accrual_distress,1,1,CenteredAccrualLeverageCrossTerm,flag,3,"The double-demeaning is the right instinct for isolating a cross-derivative, but as a *univariate* sort/FMB signal the product conflates high-accrual/high-leverage firms with low-accrual/low-leverage firms in the same tail, whose expected returns move in opposite directions, so the stated negative sign does not follow from the expression without main-effect controls that this framework does not provide.",functional_form,economic_logic,not_discussed,True,5,the product conflates high-accrual/high-leverage firms with low-accrual/low-leverage firms,functional_form,functional_form,not_discussed,not_discussed,False
49982f1579b58b92a077,B1,accrual_distress,2026-08-03T05-56-18_baseline_accrual_distress,1,2,AccrualsAtOwnLeverageHighWater,accept,3,"Using a within-firm leverage percentile as the conditioner genuinely prevents the cross-sectional leverage main effect from leaking in, which is the cleanest attribution among these proposals, though the [0,1] positive multiplier means the signal remains a shrunken re-scaling of the well-known accruals anomaly rather than an independent effect.",novelty_redundancy,,limited_incremental_extension,True,5,a shrunken re-scaling of the well-known accruals anomaly,novelty_redundancy,novelty_redundancy,limited_incremental_extension,limited_incremental_extension,False
357e9318f4f31d3cdca3,B1,accrual_distress,2026-08-03T05-56-18_baseline_accrual_distress,1,3,UnpaidTaxAccrualsUnderLeverage,flag,2,"The sign is internally inconsistent with the accrual identity it invokes — a rise in taxes payable is an increase in current liabilities, i.e. a *negative* working-capital accrual that Sloan-type logic predicts precedes *higher* returns — and txp is sparsely and inconsistently reported, so coverage will likely be as thin as the archive signal it aims to fix.",measurement_construct,data_feasibility,not_discussed,True,5,The sign is internally inconsistent with the accrual identity,measurement_construct,measurement_construct,not_discussed,not_discussed,False
eecc5600f29dff0397ac,B1,accrual_distress,2026-08-03T05-56-18_baseline_accrual_distress,1,4,DepreciationUnderProvisionInFragileFirms,accept,3,"The depreciation-lever channel is a genuinely distinct accrual-quality mechanism from working-capital accruals and the Altman-style conditioner avoids the profitability premium, but Δ(dp/at) is heavily contaminated by denominator growth and asset-mix/M&A changes, so a hit could simply be the asset-growth anomaly interacted with distress.",measurement_construct,identification_attribution,substantive_new_condition_or_combination,True,5,Δ(dp/at) is heavily contaminated by denominator growth and asset-mix/M&A changes,measurement_construct,measurement_construct,substantive_new_condition_or_combination,substantive_new_condition_or_combination,False
a0f9133659a572cd5a74,B1,accrual_distress,2026-08-03T05-56-18_baseline_accrual_distress,1,5,AccrualsUnderRefinancingPressure,accept,3,"Substituting debt-maturity concentration for leverage level is the one conditioner change here that tests an economically different distress dimension (rollover pressure vs. solvency stock), giving a genuine contrast against Signal 1, though it still inherits the positive-multiplier design whose predictive content is dominated by the accrual leg.",identification_attribution,,substantive_new_condition_or_combination,True,5,predictive content is dominated by the accrual leg,identification_attribution,identification_attribution,substantive_new_condition_or_combination,substantive_new_condition_or_combination,False
4344dbcd07e2963640c7,B1,accrual_distress,2026-08-03T05-56-18_baseline_accrual_distress,2,0,SloanAccrualsAtOwnLeverageHighWater,flag,3,"This is a definitional swap on the archive's best portfolio signal — the conditioner is identical to AccrualsAtOwnLeverageHighWater and the accrual leg is essentially the gen-0 WorkingCapitalAccrualsFragilityAmplified leg (Δwcap−dp, refined to exclude cash and current debt) — so it functions as a coverage robustness check rather than a new mechanism, and the fact that the archive parent already had an FMB slope of the wrong sign (−1.27 vs. −3.13 alpha) is a diagnostic this variant does not address.",archive_feedback,novelty_redundancy,archive_duplicate_or_cosmetic_variant,True,5,a diagnostic this variant does not address,archive_feedback,archive_feedback,archive_duplicate_or_cosmetic_variant,archive_duplicate_or_cosmetic_variant,False
0b3fc4e9db8e5aa45119,B1,accrual_distress,2026-08-03T05-56-18_baseline_accrual_distress,2,1,OpacityMagnitudeAtOwnLeverageHighWater,accept,3,"A legitimate additivity test crossing the archive's two strongest legs (ABS accruals, within-firm leverage peak) and internally consistent, but it is combinatorially derivative and the ABS×nonnegative-rank construction yields a one-sided, heavily skewed signal whose long-short spread will be driven almost entirely by an extreme-tail bucket rather than a monotone cross-sectional relation.",functional_form,novelty_redundancy,limited_incremental_extension,True,5,long-short spread will be driven almost entirely by an extreme-tail bucket,functional_form,functional_form,limited_incremental_extension,limited_incremental_extension,False
